id,name,profession,rarity,element,base_hp,base_atk,base_def,description,bonus_1,bonus_2,bonus_3
1017,玛格丽特,牙医,SR,火,805,288,69,作为牙医，牙齿，钻头，钳子组成的面具。吸引点：反差式的温柔安抚、变态般的操作精准度。战斗方式：突脸近战(拔牙：一把钳子直接伸嘴里，画面晃动后拔出牙齿造成大量流血)，被动：对低血量目标斩杀提升,crit_dmg,battle_frenzy,backpack_size
1018,安娜,急诊科护士,SR,水,932,153,64,作为急诊科护士，手里拿着染血的病历本，身上插着输液管。吸引点：母性与冷酷结合、生命韧性、爽朗实干。战斗方式：突脸近战(打针：注射药物（中毒），巨大注射器怼镜头前)，被动：脱战缓慢回血,backpack_size,gold_rush,revive
1019,玛蒂尔达,小学教师,SR,风,1001,155,92,作为小学教师，课本满天飞，粉笔怪（粉笔盒）。吸引点：善良本色、细致关怀、小世界的秩序感。战斗方式：投掷物(粉笔投掷，黑板擦投掷（带粉尘致盲效果）)，被动：物理扛伤++,battle_frenzy,def_base,backpack_double
1020,塞雷娜,网球教练,SR,光,1489,155,56,作为网球教练，发球机作伴，挥舞生锈但有灵性的球拍。吸引点：昂扬的生命力、青春感的汗水、专注的神情。战斗方式：子弹(网球连击，挥拍向玩家依次射出多个网球)，被动：30%几率反弹飞行物,boss_killer,backpack_size,revive
1021,瓦莱丽,健身教练,SR,暗,855,299,85,作为健身教练，双手绑着断裂的阻力带，身背巨型哑铃。吸引点：充满生命力的肉体、简单思维、希望感。战斗方式：突脸近战(近身挥舞拳头并进行强行背摔)，被动：完美格挡与反击,revive,def_base,gold_rush
1022,玛莎,家庭主妇,SR,火,1005,181,84,作为家庭主妇，手拿滴水的拖把，身上缠满儿童玩具。吸引点：极强的愈合感、惊人包容力、极致的整洁。战斗方式：投掷物(衣服攻击，向玩家甩出巨量衣服，衣服会堆在镜头前阻挡视线)，被动：物理扛伤++,crit_rate,crit_dmg,backpack_double
1023,艾米莉亚,空姐,SR,水,968,101,70,作为空姐，戴着扭曲的急救氧气面罩，手拿航线图。吸引点：周全的照顾、见多识广、制服下的温婉。战斗方式：子弹(小推车冲击，向玩家推向一个小推车，撞击后扣血并击退)，被动：雷抗性++（防高空静电）,max_hp,death_delivery,gold_rush
1024,朱莉娅,厨师,SR,风,1102,213,56,作为厨师，满身油污的围裙，背着燃气罐。吸引点：对味道的创造力、对烟火气的掌控、匠人执着。战斗方式：投掷物(厨具攻击：飞刀（高伤）、平底锅（眩晕）、盘子（高暴击）)，被动：火抗性++,revive,gold_rush,crit_rate
1025,丽莎,餐厅服务员,SR,光,1488,181,82,作为餐厅服务员，端着永远也送不到客人的碎餐盘。吸引点：小心翼翼的讨好、市井边缘的心酸与可爱。战斗方式：投掷物(调料攻击，抛洒胡椒、盐、辣椒酱。带强效中毒与失明)，被动：移速加快,revive,crit_dmg,boss_killer
1026,莉莉,电诈客服,SR,暗,1169,125,92,作为电诈客服，满头戴着生锈的耳机，挂满伪造的银行卡。吸引点：务实精神、野草般的韧性、底层人脉掌控。战斗方式：技能(夺命连环Call，每隔一回合生成多个来电符号，需逐个击破)，被动：受到精神攻击时减免伤害,gold_rush,crit_dmg,death_delivery
1027,克洛伊,美妆主播,SR,火,1409,174,82,作为美妆主播，手举环形补光灯，身上满是被退货的垃圾。吸引点：极致的人造美丽、蓬勃的生存欲、成名渴望。战斗方式：投掷物(超绝带货，化妆品连发（口红飞镖，粉底盒烟雾弹）)，被动：魅力值豁免部分仇恨,crit_rate,battle_frenzy,backpack_double
1028,雷切尔,网瘾治疗师,SR,水,1400,231,67,作为网瘾治疗师，穿着束缚衣，背后插着高压电弧管。吸引点：冷血无情的制裁感、令人胆寒的抖S属性。战斗方式：突脸近战(电击：突脸冲锋，左右手各持一个电棒电击玩家进行麻痹)，被动：雷抗性++,gold_rush,atk_base,crit_rate
1029,艾玛,街道网格员,SR,风,1486,138,54,作为街道网格员，拿着大喇叭，身上贴满了抗疫或催收字条。吸引点：浓烈的生活气息、看尽百态的悲悯、质朴智慧。战斗方式：突脸近战(叮咚鸡：拿出通知单糊玩家脸上，极大幅度降低视野并眩晕)，被动：物理抗性++,boss_killer,backpack_size,atk_base
1030,赫卡忒,训狗师,SR,光,1222,158,50,作为训狗师，满手全是牵引绳勒痕，携带着破旧飞盘。吸引点：野性呼唤、绝对的忠诚、心无旁骛的专注。战斗方式：生成小怪(释放多个僵尸犬类，向玩家冲过来进行撕咬牵制)，被动：获得群体宠物的生命共享,boss_killer,def_base,atk_base
1031,罗宾,鸟咖主理人,SR,暗,979,131,58,作为鸟咖主理人，肩膀上站着巨大的滴血乌鸦，眼神空洞。吸引点：无限温柔、心无旁骛、极其单纯的情感世界。战斗方式：生成小怪(释放满屏飞行的各种变异鹦鹉，形成空中高伤弹幕)，被动：高处坠落免伤,backpack_double,atk_base,revive
1032,翠妮蒂,黑客,R,火,1141,230,72,作为黑客，坐在悬浮破旧显示器中央，指尖跳跃电火花。吸引点：智商碾压的快感、神秘极客属性、打破规则的爽感。战斗方式：技能(网络入侵：猛敲键盘，玩家画面显示大量绿色代码导致瘫痪和中毒)，被动：科技造物仇恨值降低,revive,death_delivery,boss_killer
1033,杰西卡,外卖员,R,水,869,103,91,作为外卖员，骑着冒烟的电动车残骸，满脸污泥汗水。吸引点：放飞的自由灵魂、深夜孤独美学、对金钱的真诚。战斗方式：投掷物(投掷各种腐烂饭盒，命中后爆开大范围中毒区域)，被动：高闪避与冰抗性++,revive,atk_base,backpack_size
1034,玛丽,月嫂,R,风,1256,114,99,作为月嫂，背着哭声惨烈的鬼娃娃，拿着充满裂痕的奶瓶。吸引点：厚重的慈母感、混乱环境中的稳定基石、朴实可靠。战斗方式：突脸近战(强行冲刺用奶瓶插进玩家嘴里，猛灌高浓缩毒药)，被动：火抗性++,max_hp,def_base,dodge_rate
1035,卡门,狗仔队,R,光,1437,161,80,作为狗仔队，拿着长焦镜头，像蜘蛛一样潜伏在暗处。吸引点：挖掘他人阴暗面后的绝对清醒、黑色幽默大师。战斗方式：技能(闪光灯：强行实施长时闪光攻击，玩家受到巨额致盲与僵直)，被动：隐身效果与移速爆发,dodge_rate,revive,atk_base
1036,潘多拉,流浪乐手,R,暗,1264,224,91,作为流浪乐手，背着破木吉他，喉咙里插着麦克风线。吸引点：燃烧的浪漫主义、背叛主流的潇洒、直面痛苦的真实。战斗方式：投掷物(声波攻击：狂弹吉他发出一圈圈音符光波，阻碍走位)，被动：听觉攻击免疫,atk_base,max_hp,death_delivery
1037,艾琳,私人侦探,R,火,1327,232,89,作为私人侦探，戴着破毡帽，叼着不灭的烟斗虚影。吸引点：揭开黑暗面后的清醒睿智、复古神秘感、洞察谎言。战斗方式：技能(放大镜扫射：用巨大镜片锁定玩家进行灼烧，伴随打字机字幕挡屏)，被动：雷抗性++与侦测隐形,atk_base,backpack_double,battle_frenzy
1038,艾米,拾荒者,R,水,1162,269,88,作为拾荒者，拖着巨大的黑色编织袋，身披满是污垢的大衣。吸引点：顽强如小强的原始生命力、野草般的韧性。战斗方式：投掷物(投掷捡来的砖头、生化垃圾袋、废金属片进行砸击)，被动：物理抗性极大增强,battle_frenzy,backpack_double,gold_rush
